"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",0.294736842105263,0.189473684210526,0.0736842105263158,0.126315789473684,0.157894736842105,0.273684210526316,0.231578947368421,0.315789473684211,0.263157894736842,0.0842105263157895,0.157894736842105,0.115789473684211,0.115789473684211,0.0526315789473684,0.0421052631578947,0.0105263157894737
"[5,10)",0.127450980392157,0.754901960784314,0.137254901960784,0.127450980392157,0.0980392156862745,0.205882352941176,0.205882352941176,0.156862745098039,0.323529411764706,0.166666666666667,0.137254901960784,0.0588235294117647,0.0588235294117647,0.0490196078431373,0.0392156862745098,0.0490196078431373
"[10,15)",0.156862745098039,0.274509803921569,1.27450980392157,0.352941176470588,0.107843137254902,0.215686274509804,0.107843137254902,0.196078431372549,0.284313725490196,0.137254901960784,0.166666666666667,0.0882352941176471,0.0490196078431373,0.0392156862745098,0.0490196078431373,0.0784313725490196
"[15,20)",0.0380952380952381,0.257142857142857,0.323809523809524,1.82857142857143,0.276190476190476,0.228571428571429,0.152380952380952,0.40952380952381,0.219047619047619,0.228571428571429,0.114285714285714,0.0476190476190476,0.0761904761904762,0.0285714285714286,0.00952380952380952,0.019047619047619
"[20,25)",0.203389830508475,0.0677966101694915,0.169491525423729,0.661016949152542,1.03389830508475,0.457627118644068,0.322033898305085,0.271186440677966,0.186440677966102,0.389830508474576,0.101694915254237,0.169491525423729,0.101694915254237,0.0847457627118644,0.0508474576271186,0.0847457627118644
"[25,30)",0.203389830508475,0.101694915254237,0.101694915254237,0.23728813559322,0.711864406779661,0.813559322033898,0.389830508474576,0.305084745762712,0.271186440677966,0.288135593220339,0.23728813559322,0.11864406779661,0.0847457627118644,0.0677966101694915,0,0.0169491525423729
"[30,35)",0.166666666666667,0.166666666666667,0.0833333333333333,0.183333333333333,0.333333333333333,0.366666666666667,0.616666666666667,0.45,0.283333333333333,0.183333333333333,0.266666666666667,0.3,0.133333333333333,0.0166666666666667,0.0333333333333333,0.05
"[35,40)",0.114285714285714,0.2,0.114285714285714,0.1,0.271428571428571,0.257142857142857,0.328571428571429,0.428571428571429,0.457142857142857,0.285714285714286,0.114285714285714,0.2,0.157142857142857,0.1,0.1,0.0857142857142857
"[40,45)",0,0.290322580645161,0.161290322580645,0.17741935483871,0.241935483870968,0.209677419354839,0.370967741935484,0.387096774193548,0.419354838709677,0.564516129032258,0.274193548387097,0.17741935483871,0.17741935483871,0.112903225806452,0.0967741935483871,0.0806451612903226
"[45,50)",0,0,0.0181818181818182,0.145454545454545,0.236363636363636,0.109090909090909,0.181818181818182,0.436363636363636,0.472727272727273,0.563636363636364,0.290909090909091,0.145454545454545,0.109090909090909,0.0181818181818182,0.0727272727272727,0.109090909090909
"[50,55)",0.106060606060606,0.0606060606060606,0.121212121212121,0.272727272727273,0.378787878787879,0.666666666666667,0.515151515151515,0.545454545454545,0.439393939393939,0.378787878787879,0.303030303030303,0.439393939393939,0.287878787878788,0.166666666666667,0.106060606060606,0.151515151515152
"[55,60)",0.037037037037037,0.0740740740740741,0.0740740740740741,0.0925925925925926,0.185185185185185,0.351851851851852,0.203703703703704,0.314814814814815,0.425925925925926,0.222222222222222,0.481481481481481,0.574074074074074,0.407407407407407,0.222222222222222,0.148148148148148,0.240740740740741
"[60,65)",0,0.0909090909090909,0.0757575757575758,0.0303030303030303,0.287878787878788,0.303030303030303,0.348484848484849,0.393939393939394,0.439393939393939,0.378787878787879,0.287878787878788,0.393939393939394,0.196969696969697,0.0909090909090909,0.106060606060606,0.212121212121212
"[65,70)",0.037037037037037,0.148148148148148,0.037037037037037,0.148148148148148,0.259259259259259,0.555555555555556,0.296296296296296,0.481481481481481,0.259259259259259,0.407407407407407,0.407407407407407,0.555555555555556,0.518518518518518,0.296296296296296,0.185185185185185,0.37037037037037
"[70,75)",0.0909090909090909,0.0454545454545455,0.136363636363636,0.272727272727273,0.363636363636364,0.318181818181818,0.181818181818182,0.0909090909090909,0.409090909090909,0.5,0.272727272727273,0.363636363636364,0.363636363636364,0.5,0.318181818181818,0.636363636363636
"75+",0,0,0,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0,0.714285714285714,0,0.714285714285714,0,0,0.142857142857143
