"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",0.48421052631579,0.589473684210526,0.389473684210526,0.178947368421053,0.273684210526316,0.389473684210526,0.557894736842105,0.526315789473684,0.2,0.168421052631579,0.168421052631579,0.189473684210526,0.126315789473684,0.0421052631578947,0.0526315789473684,0.0210526315789474
"[5,10)",0.441176470588235,0.941176470588235,0.735294117647059,0.205882352941176,0.137254901960784,0.313725490196078,0.656862745098039,0.647058823529412,0.519607843137255,0.186274509803922,0.0882352941176471,0.0980392156862745,0.127450980392157,0.0588235294117647,0.0196078431372549,0.0392156862745098
"[10,15)",0.245098039215686,0.57843137254902,0.803921568627451,0.42156862745098,0.0588235294117647,0.0588235294117647,0.343137254901961,0.676470588235294,0.57843137254902,0.245098039215686,0.0980392156862745,0.0784313725490196,0.107843137254902,0.0784313725490196,0.0490196078431373,0.0294117647058824
"[15,20)",0.142857142857143,0.295238095238095,0.657142857142857,0.961904761904762,0.238095238095238,0.0952380952380952,0.114285714285714,0.390476190476191,0.619047619047619,0.257142857142857,0.123809523809524,0.142857142857143,0.0666666666666667,0.142857142857143,0.0285714285714286,0.0285714285714286
"[20,25)",0.135593220338983,0.186440677966102,0.0677966101694915,0.64406779661017,0.694915254237288,0.525423728813559,0.203389830508475,0.135593220338983,0.186440677966102,0.457627118644068,0.203389830508475,0.11864406779661,0.0677966101694915,0.0338983050847458,0.0169491525423729,0.0677966101694915
"[25,30)",0.457627118644068,0.355932203389831,0.152542372881356,0.203389830508475,0.389830508474576,0.457627118644068,0.288135593220339,0.169491525423729,0.101694915254237,0.101694915254237,0.305084745762712,0.254237288135593,0.152542372881356,0.0508474576271186,0.0169491525423729,0.0338983050847458
"[30,35)",0.5,0.666666666666667,0.35,0.15,0.116666666666667,0.283333333333333,0.616666666666667,0.366666666666667,0.1,0.05,0.116666666666667,0.116666666666667,0.1,0.0333333333333333,0.0333333333333333,0.0166666666666667
"[35,40)",0.385714285714286,0.714285714285714,0.542857142857143,0.257142857142857,0.142857142857143,0.0714285714285714,0.2,0.585714285714286,0.285714285714286,0.0428571428571429,0.185714285714286,0.114285714285714,0.142857142857143,0.114285714285714,0.0571428571428572,0.0571428571428572
"[40,45)",0.225806451612903,0.564516129032258,0.758064516129032,0.451612903225806,0.258064516129032,0.161290322580645,0.225806451612903,0.370967741935484,0.370967741935484,0.241935483870968,0.129032258064516,0.0161290322580645,0.17741935483871,0.0806451612903226,0.0483870967741936,0.129032258064516
"[45,50)",0.2,0.145454545454545,0.327272727272727,0.727272727272727,0.363636363636364,0.127272727272727,0.145454545454545,0.218181818181818,0.181818181818182,0.545454545454546,0.254545454545455,0.145454545454545,0.0909090909090909,0,0.0545454545454545,0.145454545454545
"[50,55)",0.242424242424242,0.121212121212121,0.196969696969697,0.363636363636364,0.378787878787879,0.151515151515152,0.242424242424242,0.181818181818182,0.151515151515152,0.0757575757575758,0.287878787878788,0.196969696969697,0.0909090909090909,0.0151515151515152,0.0909090909090909,0.0757575757575758
"[55,60)",0.12962962962963,0.111111111111111,0.333333333333333,0.185185185185185,0.240740740740741,0.240740740740741,0.222222222222222,0.12962962962963,0.12962962962963,0.277777777777778,0.296296296296296,0.388888888888889,0.259259259259259,0.037037037037037,0.0185185185185185,0.240740740740741
"[60,65)",0.196969696969697,0.303030303030303,0.196969696969697,0.151515151515152,0.136363636363636,0.196969696969697,0.257575757575758,0.333333333333333,0.287878787878788,0.0757575757575758,0.196969696969697,0.303030303030303,0.409090909090909,0.242424242424242,0.0606060606060606,0.0606060606060606
"[65,70)",0.222222222222222,0.259259259259259,0.333333333333333,0.296296296296296,0.0740740740740741,0.111111111111111,0.222222222222222,0.333333333333333,0.481481481481482,0.185185185185185,0.0740740740740741,0.111111111111111,0.259259259259259,0.407407407407407,0.148148148148148,0.037037037037037
"[70,75)",0.0454545454545455,0.0909090909090909,0.272727272727273,0.363636363636364,0.0454545454545455,0.0909090909090909,0,0.0454545454545455,0.5,0.227272727272727,0.181818181818182,0,0.181818181818182,0.318181818181818,0.272727272727273,0.227272727272727
"75+",0.125,0.375,0.125,0.375,0.125,0,0.25,0.125,0.125,0.125,0.25,0.25,0,0,0.25,0.625
