"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[5,10)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[10,15)",0,0.0196078431372549,0.00980392156862745,0,0,0,0.0196078431372549,0,0,0,0,0,0.00980392156862745,0,0,0
"[15,20)",0,0.019047619047619,0.00952380952380952,0.342857142857143,0.257142857142857,0.19047619047619,0.0952380952380952,0.142857142857143,0.019047619047619,0.180952380952381,0.104761904761905,0.0761904761904762,0.0761904761904762,0.0285714285714286,0.00952380952380952,0.00952380952380952
"[20,25)",0.11864406779661,0.355932203389831,0.0338983050847458,0.152542372881356,0.406779661016949,0.288135593220339,0.305084745762712,0.305084745762712,0.322033898305085,0.101694915254237,0.11864406779661,0.0847457627118644,0.0169491525423729,0.0508474576271186,0,0.0169491525423729
"[25,30)",0.0169491525423729,0.288135593220339,0.0508474576271186,0.288135593220339,0.389830508474576,0.491525423728814,0.440677966101695,0.406779661016949,0.474576271186441,0.508474576271186,0.305084745762712,0.152542372881356,0.101694915254237,0.101694915254237,0.0847457627118644,0.0169491525423729
"[30,35)",0,0.0666666666666667,0.05,0.0666666666666667,0.283333333333333,0.316666666666667,0.366666666666667,0.683333333333333,0.333333333333333,0.316666666666667,0.216666666666667,0.25,0.15,0.0666666666666667,0.0166666666666667,0
"[35,40)",0.242857142857143,0.371428571428571,0.0285714285714286,0.171428571428571,0.214285714285714,0.342857142857143,0.285714285714286,0.385714285714286,0.442857142857143,0.414285714285714,0.314285714285714,0.2,0.0714285714285714,0.0714285714285714,0.0571428571428571,0.0571428571428571
"[40,45)",0.0161290322580645,0.032258064516129,0.0483870967741935,0.225806451612903,0.225806451612903,0.290322580645161,0.354838709677419,0.516129032258065,0.483870967741935,0.5,0.274193548387097,0.306451612903226,0.112903225806452,0.032258064516129,0.0645161290322581,0.0645161290322581
"[45,50)",0,0.0181818181818182,0.345454545454545,0.181818181818182,0.272727272727273,0.618181818181818,0.545454545454545,0.418181818181818,0.6,0.727272727272727,0.345454545454545,0.2,0.327272727272727,0.109090909090909,0.0909090909090909,0.236363636363636
"[50,55)",0.0151515151515152,0.121212121212121,0,0.0606060606060606,0.121212121212121,0.0606060606060606,0.151515151515152,0.106060606060606,0.257575757575758,0.136363636363636,0.151515151515152,0.121212121212121,0.0303030303030303,0.0303030303030303,0.0757575757575758,0.0303030303030303
"[55,60)",0.0185185185185185,0,0.0185185185185185,0.0185185185185185,0.185185185185185,0.259259259259259,0.185185185185185,0.240740740740741,0.111111111111111,0.277777777777778,0.259259259259259,0.203703703703704,0.111111111111111,0.0185185185185185,0.0185185185185185,0.0925925925925926
"[60,65)",0,0,0,0.0151515151515152,0.0757575757575758,0.166666666666667,0.0757575757575758,0.151515151515152,0.181818181818182,0.121212121212121,0.106060606060606,0.136363636363636,0.0454545454545455,0.0151515151515152,0.0303030303030303,0
"[65,70)",0,0,0,0.037037037037037,0.037037037037037,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.0740740740740741,0,0.0740740740740741,0.111111111111111,0.0740740740740741,0,0,0
"[70,75)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
