"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",1.13684210526316,0.168421052631579,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.126315789473684,0.178947368421053,0.178947368421053,0.0842105263157895,0.0421052631578947,0,0,0.0210526315789474,0,0.0105263157894737,0
"[5,10)",0.0784313725490196,4.94117647058824,0.441176470588235,0.00980392156862745,0.0686274509803922,0.137254901960784,0.205882352941176,0.176470588235294,0.156862745098039,0.186274509803922,0.156862745098039,0.0490196078431373,0.0686274509803922,0,0,0
"[10,15)",0.00980392156862745,0.215686274509804,4.76470588235294,0.254901960784314,0.0490196078431373,0.166666666666667,0.147058823529412,0.392156862745098,0.274509803921569,0.186274509803922,0.137254901960784,0.0882352941176471,0.0196078431372549,0,0,0
"[15,20)",0.0571428571428571,0.161904761904762,0.533333333333333,3.58095238095238,0.161904761904762,0.228571428571429,0.133333333333333,0.142857142857143,0.0857142857142857,0.104761904761905,0.0666666666666667,0.0666666666666667,0.019047619047619,0,0,0
"[20,25)",0,0,0,0.11864406779661,0.457627118644068,0.0169491525423729,0.0508474576271186,0.0508474576271186,0.0338983050847458,0.0169491525423729,0.0169491525423729,0.0169491525423729,0,0.0169491525423729,0,0
"[25,30)",0.0508474576271186,0,0,0,0,0.0677966101694915,0.0677966101694915,0.0677966101694915,0.0338983050847458,0.0338983050847458,0,0,0,0,0,0
"[30,35)",0,0.05,0,0.0166666666666667,0.0166666666666667,0,0.0666666666666667,0.0333333333333333,0.1,0.0166666666666667,0,0.0166666666666667,0.0166666666666667,0.0166666666666667,0,0
"[35,40)",0.0857142857142857,0.1,0.0714285714285714,0.0285714285714286,0,0.0428571428571429,0.0714285714285714,0.1,0.0428571428571429,0.0571428571428571,0,0.0142857142857143,0.0142857142857143,0.0142857142857143,0,0
"[40,45)",0,0.0161290322580645,0.032258064516129,0,0.0483870967741935,0.0806451612903226,0.0645161290322581,0.0483870967741935,0.0806451612903226,0.0161290322580645,0.032258064516129,0.0483870967741935,0,0,0,0.0161290322580645
"[45,50)",0.0181818181818182,0,0,0.109090909090909,0,0,0.0363636363636364,0.0181818181818182,0.0181818181818182,0.0363636363636364,0.0545454545454545,0.0181818181818182,0.0181818181818182,0,0,0
"[50,55)",0,0,0,0,0,0,0.0151515151515152,0,0.0454545454545455,0.0151515151515152,0,0.0606060606060606,0,0,0,0
"[55,60)",0.0185185185185185,0.037037037037037,0.0185185185185185,0,0,0.0185185185185185,0,0,0,0.0185185185185185,0.0185185185185185,0,0,0,0,0
"[60,65)",0,0.106060606060606,0,0,0.0303030303030303,0,0.0757575757575758,0.136363636363636,0.0303030303030303,0.0303030303030303,0,0.0151515151515152,0,0.0151515151515152,0,0
"[65,70)",0,0.0740740740740741,0.037037037037037,0,0,0,0.037037037037037,0.0740740740740741,0,0,0,0.0740740740740741,0,0,0,0
"[70,75)",0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0
"75+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
