region,date,cases,7_day_rolling_cases,7_day_average_hospitalised,7_day_average_ICU,7_day_average_cases
VIC,2022-01-12,40127.0,36024.0,769.0,109.0,36024.0
AUS,2022-01-12,103549.0,89961.0,,,
SA,2022-01-12,3715.0,3745.0,171.0,19.0,3745.0
QLD,2022-01-12,22069.0,14668.0,413.0,20.0,14668.0
NSW,2022-01-12,34759.0,32807.0,1934.0,152.0,32807.0
TAS,2022-01-12,1583.0,1216.0,11.0,0.0,1216.0
WA,2022-01-12,6.0,8.0,0.0,0.0,8.0
ACT,2022-01-12,1078.0,1158.0,24.0,4.0,1158.0
NT,2022-01-13,320.0,351.0,31.0,2.0,395.0
NSW,2022-01-13,91928.0,40948.0,2045.0,159.0,40948.0
TAS,2022-01-13,1103.0,1266.0,15.0,0.0,1266.0
VIC,2022-01-13,37169.0,38191.0,815.0,111.0,38191.0
AUS,2022-01-13,150139.0,101080.0,,,
ACT,2022-01-13,1020.0,1162.0,25.0,4.0,1162.0
SA,2022-01-13,3669.0,3831.0,185.0,21.0,3831.0
QLD,2022-01-13,14914.0,15322.0,451.0,22.0,15322.0
WA,2022-01-13,16.0,9.0,0.0,0.0,9.0
TAS,2022-01-14,1201.0,1225.0,18.0,0.0,1225.0
NSW,2022-01-14,87347.0,47908.0,2160.0,166.0,47908.0
AUS,2022-01-14,155366.0,112127.0,,,
WA,2022-01-14,8.0,9.0,0.0,0.0,9.0
NT,2022-01-14,362.0,363.0,33.0,2.0,387.0
ACT,2022-01-14,2303.0,1313.0,25.0,4.0,1313.0
SA,2022-01-14,5679.0,4113.0,200.0,21.0,4113.0
QLD,2022-01-14,23630.0,17133.0,488.0,26.0,17133.0
VIC,2022-01-14,34836.0,40064.0,862.0,112.0,40064.0
SA,2022-01-15,4349.0,4123.0,210.0,23.0,4123.0
WA,2022-01-15,10.0,9.0,0.0,0.0,9.0
ACT,2022-01-15,1320.0,1315.0,26.0,3.0,1315.0
QLD,2022-01-15,19709.0,18353.0,528.0,30.0,18353.0
AUS,2022-01-15,101105.0,110189.0,,,
NSW,2022-01-15,48768.0,48432.0,2259.0,173.0,48432.0
TAS,2022-01-15,1143.0,1238.0,20.0,0.0,1238.0
NT,2022-01-15,280.0,345.0,33.0,1.0,366.0
VIC,2022-01-15,25526.0,36374.0,909.0,113.0,36374.0
QLD,2022-01-16,17445.0,18273.0,567.0,34.0,18273.0
TAS,2022-01-16,825.0,1207.0,21.0,1.0,1207.0
VIC,2022-01-16,28128.0,34084.0,960.0,115.0,34084.0
NT,2022-01-16,189.0,336.0,34.0,1.0,336.0
WA,2022-01-16,3.0,9.0,0.0,0.0,9.0
SA,2022-01-16,2479.0,3834.0,217.0,24.0,3834.0
ACT,2022-01-16,1316.0,1355.0,28.0,3.0,1355.0
NSW,2022-01-16,34660.0,49089.0,2346.0,178.0,49089.0
AUS,2022-01-16,85045.0,108187.0,,,
AUS,2022-01-17,73742.0,108550.0,,,
NT,2022-01-17,75.0,299.0,34.0,1.0,299.0
TAS,2022-01-17,1037.0,1181.0,22.0,1.0,1181.0
NSW,2022-01-17,29504.0,50405.0,2432.0,184.0,50405.0
QLD,2022-01-17,15122.0,19065.0,607.0,38.0,19065.0
ACT,2022-01-17,878.0,1346.0,32.0,3.0,1346.0
VIC,2022-01-17,22429.0,32316.0,1019.0,117.0,32316.0
SA,2022-01-17,4685.0,3928.0,222.0,25.0,3928.0
WA,2022-01-17,12.0,10.0,0.0,0.0,10.0
SA,2022-01-18,3079.0,3951.0,233.0,25.0,3951.0
NT,2022-01-18,96.0,219.0,35.0,1.0,219.0
WA,2022-01-18,14.0,10.0,0.0,0.0,10.0
ACT,2022-01-18,1860.0,1396.0,37.0,4.0,1396.0
TAS,2022-01-18,1310.0,1172.0,23.0,1.0,1172.0
QLD,2022-01-18,15962.0,18407.0,649.0,41.0,18407.0
AUS,2022-01-18,106882.0,110833.0,,,
VIC,2022-01-18,54731.0,34707.0,1061.0,118.0,34707.0
NSW,2022-01-18,29830.0,50971.0,2497.0,190.0,50971.0
NT,2022-01-19,426.0,250.0,39.0,1.0,250.0
NSW,2022-01-19,32297.0,50619.0,2585.0,196.0,50619.0
VIC,2022-01-19,20379.0,31885.0,1093.0,120.0,31885.0
SA,2022-01-19,3842.0,3969.0,248.0,24.0,3969.0
TAS,2022-01-19,1185.0,1115.0,24.0,1.0,1115.0
WA,2022-01-19,5.0,10.0,0.0,0.0,10.0
QLD,2022-01-19,19932.0,18102.0,689.0,44.0,18102.0
AUS,2022-01-19,79533.0,107402.0,,,
ACT,2022-01-19,1467.0,1452.0,42.0,4.0,1452.0
NT,2022-01-20,451.0,268.0,42.0,0.0,268.0
WA,2022-01-20,10.0,9.0,0.0,0.0,9.0
NSW,2022-01-20,30829.0,41891.0,2642.0,200.0,41891.0
AUS,2022-01-20,74780.0,96636.0,,,
VIC,2022-01-20,21082.0,29587.0,1129.0,122.0,29587.0
ACT,2022-01-20,892.0,1434.0,48.0,4.0,1434.0
QLD,2022-01-20,16812.0,18373.0,731.0,48.0,18373.0
TAS,2022-01-20,927.0,1090.0,25.0,1.0,1090.0
SA,2022-01-20,3777.0,3984.0,257.0,25.0,3984.0
AUS,2022-01-21,64508.0,83656.0,,,
QLD,2022-01-21,16031.0,17288.0,769.0,49.0,17288.0
WA,2022-01-21,10.0,9.0,0.0,0.0,9.0
NT,2022-01-21,459.0,282.0,46.0,1.0,282.0
ACT,2022-01-21,826.0,1223.0,53.0,4.0,1223.0
SA,2022-01-21,3023.0,3605.0,264.0,27.0,3605.0
VIC,2022-01-21,18167.0,27206.0,1146.0,123.0,27206.0
TAS,2022-01-21,824.0,1036.0,26.0,2.0,1036.0
NSW,2022-01-21,25168.0,33008.0,2670.0,204.0,33008.0
QLD,2022-01-22,15050.0,16622.0,802.0,50.0,16622.0
VIC,2022-01-22,16016.0,25847.0,1143.0,124.0,25847.0
NSW,2022-01-22,27835.0,30018.0,2709.0,205.0,30018.0
WA,2022-01-22,12.0,9.0,0.0,0.0,9.0
SA,2022-01-22,2193.0,3297.0,270.0,28.0,3297.0
NT,2022-01-22,87.0,255.0,50.0,1.0,255.0
ACT,2022-01-22,666.0,1129.0,57.0,3.0,1129.0
AUS,2022-01-22,62588.0,78154.0,,,
TAS,2022-01-22,729.0,977.0,27.0,2.0,977.0
AUS,2022-01-23,48833.0,72981.0,,,
NSW,2022-01-23,20324.0,27970.0,2734.0,206.0,27970.0
ACT,2022-01-23,694.0,1040.0,61.0,3.0,1040.0
QLD,2022-01-23,11947.0,15837.0,830.0,50.0,15837.0
VIC,2022-01-23,13091.0,23699.0,1127.0,123.0,23699.0
TAS,2022-01-23,623.0,948.0,30.0,2.0,948.0
NT,2022-01-23,66.0,237.0,55.0,1.0,237.0
SA,2022-01-23,2062.0,3237.0,278.0,29.0,3237.0
WA,2022-01-23,26.0,13.0,0.0,0.0,13.0
NSW,2022-01-24,15091.0,25911.0,2760.0,205.0,25911.0
AUS,2022-01-24,40694.0,68260.0,,,
SA,2022-01-24,2009.0,2855.0,288.0,29.0,2855.0
VIC,2022-01-24,11695.0,22166.0,1094.0,122.0,22166.0
ACT,2022-01-24,756.0,1023.0,64.0,3.0,1023.0
NT,2022-01-24,299.0,269.0,61.0,1.0,269.0
WA,2022-01-24,15.0,13.0,0.0,0.0,13.0
TAS,2022-01-24,617.0,888.0,32.0,3.0,888.0
QLD,2022-01-24,10212.0,15135.0,855.0,50.0,15135.0
VIC,2022-01-25,14836.0,16467.0,1080.0,121.0,16467.0
WA,2022-01-25,18.0,14.0,0.0,0.0,14.0
TAS,2022-01-25,646.0,793.0,34.0,3.0,793.0
NSW,2022-01-25,18512.0,24294.0,2803.0,201.0,24294.0
NT,2022-01-25,517.0,329.0,66.0,2.0,329.0
SA,2022-01-25,1869.0,2682.0,288.0,30.0,2682.0
QLD,2022-01-25,9546.0,14219.0,870.0,51.0,14219.0
AUS,2022-01-25,46848.0,59683.0,,,
ACT,2022-01-25,904.0,886.0,64.0,3.0,886.0
AUS,2022-01-26,52552.0,55829.0,,,
NSW,2022-01-26,21030.0,22684.0,2793.0,195.0,22684.0
TAS,2022-01-26,708.0,725.0,34.0,3.0,725.0
ACT,2022-01-26,896.0,805.0,65.0,3.0,805.0
NT,2022-01-26,475.0,336.0,68.0,2.0,336.0
WA,2022-01-26,24.0,16.0,0.0,0.0,16.0
QLD,2022-01-26,13511.0,13301.0,878.0,50.0,13301.0
VIC,2022-01-26,13507.0,15485.0,1068.0,119.0,15485.0
SA,2022-01-26,2401.0,2476.0,287.0,31.0,2476.0
SA,2022-01-27,1953.0,2216.0,287.0,30.0,2216.0
TAS,2022-01-27,728.0,696.0,33.0,2.0,696.0
ACT,2022-01-27,884.0,804.0,67.0,3.0,804.0
NT,2022-01-27,623.0,361.0,74.0,3.0,361.0
VIC,2022-01-27,13755.0,14438.0,1047.0,118.0,14438.0
QLD,2022-01-27,11600.0,12557.0,875.0,50.0,12557.0
WA,2022-01-27,12.0,17.0,1.0,0.0,17.0
NSW,2022-01-27,24698.0,21808.0,2785.0,191.0,21808.0
AUS,2022-01-27,54253.0,52897.0,,,
NT,2022-01-28,940.0,430.0,80.0,3.0,430.0
VIC,2022-01-28,12755.0,13665.0,1031.0,117.0,13665.0
QLD,2022-01-28,9848.0,11673.0,870.0,50.0,11673.0
WA,2022-01-28,8.0,16.0,1.0,1.0,16.0
NSW,2022-01-28,20558.0,21150.0,2784.0,188.0,21150.0
ACT,2022-01-28,734.0,791.0,67.0,3.0,791.0
TAS,2022-01-28,584.0,662.0,31.0,2.0,662.0
AUS,2022-01-28,47273.0,50434.0,,,
SA,2022-01-28,1846.0,2048.0,285.0,29.0,2048.0
ACT,2022-01-29,620.0,784.0,67.0,4.0,784.0
QLD,2022-01-29,10418.0,11012.0,863.0,50.0,11012.0
SA,2022-01-29,1740.0,1983.0,286.0,28.0,1983.0
AUS,2022-01-29,39876.0,47190.0,,,
TAS,2022-01-29,683.0,656.0,29.0,2.0,656.0
NSW,2022-01-29,13354.0,19081.0,2774.0,186.0,19081.0
NT,2022-01-29,808.0,533.0,87.0,3.0,533.0
WA,2022-01-29,23.0,18.0,1.0,1.0,18.0
VIC,2022-01-29,12230.0,13124.0,1021.0,117.0,13124.0
AUS,2022-01-30,33730.0,45032.0,,,
ACT,2022-01-30,584.0,768.0,66.0,4.0,768.0
NSW,2022-01-30,13524.0,18110.0,2767.0,185.0,18110.0
NT,2022-01-30,849.0,644.0,93.0,4.0,644.0
SA,2022-01-30,1633.0,1922.0,288.0,27.0,1922.0
WA,2022-01-30,20.0,17.0,1.0,1.0,17.0
QLD,2022-01-30,5937.0,10153.0,846.0,49.0,10153.0
TAS,2022-01-30,594.0,651.0,26.0,2.0,651.0
VIC,2022-01-30,10589.0,12767.0,1004.0,115.0,12767.0
NSW,2022-01-31,13026.0,17815.0,2762.0,183.0,17815.0
NT,2022-01-31,760.0,710.0,98.0,4.0,710.0
ACT,2022-01-31,517.0,734.0,65.0,4.0,734.0
VIC,2022-01-31,10053.0,12532.0,987.0,113.0,12532.0
QLD,2022-01-31,7345.0,9744.0,838.0,49.0,9744.0
SA,2022-01-31,1505.0,1850.0,286.0,27.0,1850.0
WA,2022-01-31,22.0,18.0,2.0,1.0,18.0
TAS,2022-01-31,498.0,634.0,23.0,1.0,634.0
AUS,2022-01-31,33726.0,44037.0,,,
AUS,2022-02-01,35198.0,42373.0,,,
QLD,2022-02-01,7588.0,9464.0,829.0,50.0,9464.0
NT,2022-02-01,970.0,775.0,107.0,4.0,775.0
WA,2022-02-01,24.0,19.0,2.0,1.0,19.0
NSW,2022-02-01,12818.0,17001.0,2734.0,183.0,17001.0
TAS,2022-02-01,699.0,642.0,20.0,1.0,642.0
VIC,2022-02-01,11311.0,12029.0,957.0,111.0,12029.0
SA,2022-02-01,1266.0,1763.0,284.0,25.0,1763.0
ACT,2022-02-01,522.0,680.0,65.0,4.0,680.0
NT,2022-02-02,1133.0,869.0,115.0,4.0,869.0
QLD,2022-02-02,9630.0,8909.0,822.0,50.0,8909.0
TAS,2022-02-02,666.0,636.0,18.0,1.0,636.0
WA,2022-02-02,29.0,20.0,2.0,1.0,20.0
NSW,2022-02-02,11807.0,15684.0,2709.0,183.0,15684.0
SA,2022-02-02,1723.0,1667.0,276.0,25.0,1667.0
VIC,2022-02-02,14553.0,12178.0,911.0,109.0,12178.0
ACT,2022-02-02,549.0,630.0,64.0,3.0,630.0
AUS,2022-02-02,40090.0,40592.0,,,
AUS,2022-02-03,37206.0,38157.0,,,
TAS,2022-02-03,656.0,626.0,16.0,1.0,626.0
WA,2022-02-03,29.0,22.0,1.0,1.0,22.0
ACT,2022-02-03,529.0,579.0,63.0,3.0,579.0
VIC,2022-02-03,12157.0,11950.0,868.0,104.0,11950.0
NT,2022-02-03,977.0,920.0,122.0,4.0,920.0
SA,2022-02-03,1583.0,1614.0,267.0,23.0,1614.0
NSW,2022-02-03,12632.0,13960.0,2689.0,180.0,13960.0
QLD,2022-02-03,8643.0,8487.0,820.0,50.0,8487.0
AUS,2022-02-04,32219.0,36006.0,,,
VIC,2022-02-04,11240.0,11733.0,828.0,99.0,11733.0
NSW,2022-02-04,10698.0,12551.0,2654.0,176.0,12551.0
WA,2022-02-04,32.0,26.0,1.0,1.0,26.0
ACT,2022-02-04,449.0,539.0,63.0,2.0,539.0
SA,2022-02-04,1363.0,1545.0,258.0,22.0,1545.0
QLD,2022-02-04,6857.0,8060.0,817.0,50.0,8060.0
TAS,2022-02-04,576.0,625.0,15.0,1.0,625.0
NT,2022-02-04,1004.0,929.0,128.0,5.0,929.0
NT,2022-02-05,968.0,952.0,134.0,5.0,952.0
ACT,2022-02-05,372.0,503.0,63.0,1.0,503.0
WA,2022-02-05,26.0,26.0,1.0,1.0,26.0
AUS,2022-02-05,29845.0,34573.0,,,
TAS,2022-02-05,483.0,596.0,14.0,2.0,596.0
SA,2022-02-05,1289.0,1480.0,249.0,20.0,1480.0
QLD,2022-02-05,10508.0,8073.0,811.0,49.0,8073.0
VIC,2022-02-05,7810.0,11102.0,790.0,94.0,11102.0
NSW,2022-02-05,8389.0,11842.0,2603.0,171.0,11842.0
WA,2022-02-06,46.0,30.0,1.0,1.0,30.0
ACT,2022-02-06,323.0,466.0,63.0,1.0,466.0
TAS,2022-02-06,472.0,579.0,13.0,2.0,579.0
AUS,2022-02-06,23750.0,33148.0,,,
VIC,2022-02-06,7169.0,10613.0,756.0,89.0,10613.0
QLD,2022-02-06,5746.0,8045.0,809.0,50.0,8045.0
SA,2022-02-06,1234.0,1423.0,239.0,19.0,1423.0
NT,2022-02-06,867.0,954.0,139.0,5.0,954.0
NSW,2022-02-06,7893.0,11038.0,2554.0,166.0,11038.0
NT,2022-02-07,831.0,964.0,145.0,5.0,964.0
VIC,2022-02-07,8275.0,10359.0,722.0,84.0,10359.0
NSW,2022-02-07,7437.0,10239.0,2457.0,159.0,10239.0
QLD,2022-02-07,4701.0,7668.0,795.0,49.0,7668.0
WA,2022-02-07,36.0,32.0,1.0,0.0,32.0
SA,2022-02-07,1147.0,1372.0,231.0,17.0,1372.0
TAS,2022-02-07,442.0,571.0,13.0,2.0,571.0
ACT,2022-02-07,299.0,435.0,62.0,1.0,435.0
AUS,2022-02-07,23168.0,31639.0,,,
ACT,2022-02-08,495.0,431.0,61.0,1.0,431.0
SA,2022-02-08,1296.0,1376.0,221.0,16.0,1376.0
NSW,2022-02-08,9690.0,9792.0,2360.0,151.0,9792.0
TAS,2022-02-08,601.0,557.0,13.0,2.0,557.0
QLD,2022-02-08,5178.0,7323.0,771.0,47.0,7323.0
VIC,2022-02-08,9785.0,10141.0,683.0,80.0,10141.0
AUS,2022-02-08,28202.0,30640.0,,,
NT,2022-02-08,1092.0,982.0,152.0,5.0,982.0
WA,2022-02-08,65.0,38.0,1.0,0.0,38.0
SA,2022-02-09,1671.0,1369.0,218.0,16.0,1369.0
VIC,2022-02-09,9908.0,9478.0,650.0,76.0,9478.0
QLD,2022-02-09,6902.0,6934.0,750.0,47.0,6934.0
TAS,2022-02-09,574.0,543.0,13.0,1.0,543.0
WA,2022-02-09,94.0,47.0,1.0,0.0,47.0
AUS,2022-02-09,31064.0,29351.0,,,
NT,2022-02-09,1128.0,981.0,158.0,5.0,981.0
NSW,2022-02-09,10312.0,9579.0,2258.0,146.0,9579.0
ACT,2022-02-09,475.0,420.0,60.0,2.0,420.0
VIC,2022-02-10,9391.0,9083.0,621.0,75.0,9083.0
AUS,2022-02-10,29451.0,28243.0,,,
ACT,2022-02-10,500.0,416.0,58.0,2.0,416.0
TAS,2022-02-10,637.0,541.0,14.0,1.0,541.0
WA,2022-02-10,139.0,63.0,1.0,0.0,63.0
NT,2022-02-10,1161.0,1007.0,162.0,4.0,1007.0
NSW,2022-02-10,10130.0,9221.0,2146.0,140.0,9221.0
SA,2022-02-10,1639.0,1377.0,215.0,16.0,1377.0
QLD,2022-02-10,5854.0,6535.0,723.0,47.0,6535.0
VIC,2022-02-11,8521.0,8694.0,599.0,75.0,8694.0
AUS,2022-02-11,27129.0,27516.0,,,
TAS,2022-02-11,552.0,537.0,14.0,1.0,537.0
SA,2022-02-11,1445.0,1389.0,213.0,16.0,1389.0
NSW,2022-02-11,8950.0,8972.0,2035.0,133.0,8972.0
NT,2022-02-11,1096.0,1020.0,164.0,4.0,1020.0
WA,2022-02-11,99.0,72.0,1.0,0.0,72.0
ACT,2022-02-11,489.0,422.0,56.0,2.0,422.0
QLD,2022-02-11,5977.0,6409.0,693.0,46.0,6409.0
NT,2022-02-12,1383.0,1080.0,167.0,3.0,1080.0
WA,2022-02-12,49.0,75.0,1.0,0.0,75.0
ACT,2022-02-12,428.0,430.0,54.0,3.0,430.0
AUS,2022-02-12,22750.0,26502.0,,,
VIC,2022-02-12,7224.0,8610.0,570.0,75.0,8610.0
QLD,2022-02-12,3660.0,5431.0,657.0,46.0,5431.0
SA,2022-02-12,1372.0,1401.0,212.0,16.0,1401.0
TAS,2022-02-12,451.0,533.0,15.0,1.0,533.0
NSW,2022-02-12,8183.0,8942.0,1936.0,126.0,8942.0
VIC,2022-02-13,7223.0,8618.0,543.0,73.0,8618.0
TAS,2022-02-13,371.0,518.0,15.0,1.0,518.0
QLD,2022-02-13,7311.0,5655.0,624.0,46.0,5655.0
WA,2022-02-13,68.0,79.0,1.0,0.0,79.0
NSW,2022-02-13,6686.0,8770.0,1835.0,118.0,8770.0
SA,2022-02-13,1165.0,1391.0,211.0,16.0,1391.0
NT,2022-02-13,757.0,1064.0,168.0,3.0,1064.0
AUS,2022-02-13,24039.0,26543.0,,,
ACT,2022-02-13,458.0,449.0,53.0,3.0,449.0
AUS,2022-02-14,19680.0,26045.0,,,
NSW,2022-02-14,6184.0,8591.0,1771.0,113.0,8591.0
TAS,2022-02-14,408.0,513.0,14.0,1.0,513.0
SA,2022-02-14,1027.0,1374.0,210.0,17.0,1374.0
WA,2022-02-14,75.0,84.0,0.0,0.0,84.0
NT,2022-02-14,757.0,1053.0,169.0,3.0,1053.0
VIC,2022-02-14,7104.0,8451.0,519.0,72.0,8451.0
ACT,2022-02-14,375.0,460.0,52.0,3.0,460.0
QLD,2022-02-14,3750.0,5519.0,594.0,46.0,5519.0
ACT,2022-02-15,455.0,454.0,51.0,4.0,454.0
SA,2022-02-15,1138.0,1351.0,212.0,17.0,1351.0
NT,2022-02-15,1074.0,1051.0,166.0,2.0,1051.0
TAS,2022-02-15,513.0,501.0,14.0,1.0,501.0
QLD,2022-02-15,5286.0,5534.0,563.0,44.0,5534.0
WA,2022-02-15,62.0,84.0,0.0,0.0,84.0
AUS,2022-02-15,24891.0,25572.0,,,
VIC,2022-02-15,8162.0,8219.0,499.0,72.0,8219.0
NSW,2022-02-15,8201.0,8378.0,1702.0,108.0,8378.0
QLD,2022-02-16,6596.0,5491.0,527.0,43.0,5491.0
WA,2022-02-16,128.0,89.0,0.0,0.0,89.0
VIC,2022-02-16,8149.0,7968.0,479.0,71.0,7968.0
NT,2022-02-16,1027.0,1036.0,161.0,2.0,1036.0
AUS,2022-02-16,29204.0,25306.0,,,
ACT,2022-02-16,594.0,471.0,50.0,3.0,471.0
SA,2022-02-16,1624.0,1344.0,214.0,17.0,1344.0
TAS,2022-02-16,623.0,508.0,14.0,1.0,508.0
NSW,2022-02-16,10463.0,8400.0,1641.0,102.0,8400.0
TAS,2022-02-17,680.0,514.0,13.0,1.0,514.0
AUS,2022-02-17,27989.0,25097.0,,,
ACT,2022-02-17,537.0,477.0,49.0,3.0,477.0
NT,2022-02-17,985.0,1011.0,157.0,1.0,1011.0
VIC,2022-02-17,8501.0,7841.0,458.0,72.0,7841.0
NSW,2022-02-17,9995.0,8380.0,1591.0,98.0,8380.0
WA,2022-02-17,186.0,95.0,0.0,0.0,95.0
SA,2022-02-17,1440.0,1316.0,216.0,17.0,1316.0
QLD,2022-02-17,5665.0,5464.0,495.0,41.0,5464.0
TAS,2022-02-18,623.0,524.0,13.0,1.0,524.0
NT,2022-02-18,995.0,997.0,152.0,1.0,997.0
NSW,2022-02-18,9243.0,8422.0,1543.0,96.0,8422.0
VIC,2022-02-18,6935.0,7614.0,434.0,69.0,7614.0
ACT,2022-02-18,561.0,487.0,49.0,3.0,487.0
AUS,2022-02-18,25833.0,24912.0,,,
SA,2022-02-18,1479.0,1321.0,212.0,16.0,1321.0
WA,2022-02-18,202.0,110.0,0.0,0.0,110.0
QLD,2022-02-18,5795.0,5438.0,470.0,40.0,5438.0
VIC,2022-02-19,6280.0,7479.0,416.0,66.0,7479.0
NT,2022-02-19,774.0,910.0,150.0,1.0,910.0
NSW,2022-02-19,7615.0,8341.0,1493.0,92.0,8341.0
SA,2022-02-19,1336.0,1316.0,207.0,16.0,1316.0
AUS,2022-02-19,22126.0,24823.0,,,
WA,2022-02-19,262.0,140.0,0.0,0.0,140.0
QLD,2022-02-19,4919.0,5617.0,452.0,38.0,5617.0
ACT,2022-02-19,355.0,476.0,47.0,3.0,476.0
TAS,2022-02-19,585.0,543.0,12.0,2.0,543.0
ACT,2022-02-20,560.0,491.0,45.0,3.0,491.0
NSW,2022-02-20,5582.0,8183.0,1445.0,90.0,8183.0
QLD,2022-02-20,4265.0,5182.0,436.0,37.0,5182.0
NT,2022-02-20,532.0,878.0,145.0,1.0,878.0
VIC,2022-02-20,4867.0,7143.0,401.0,64.0,7143.0
WA,2022-02-20,229.0,163.0,0.0,0.0,163.0
TAS,2022-02-20,555.0,570.0,12.0,2.0,570.0
AUS,2022-02-20,17708.0,23919.0,,,
SA,2022-02-20,1118.0,1309.0,204.0,15.0,1309.0
NSW,2022-02-21,4916.0,8002.0,1393.0,86.0,8002.0
NT,2022-02-21,618.0,858.0,139.0,2.0,858.0
AUS,2022-02-21,17726.0,23640.0,,,
ACT,2022-02-21,458.0,503.0,43.0,2.0,503.0
