region,date,cases,7_day_rolling_cases,7_day_average_hospitalised,7_day_average_ICU,7_day_average_cases
AUS,2022-01-01,35186.0,,,,
NT,2022-01-01,49.0,,,,
TAS,2022-01-01,433.0,,,,
NSW,2022-01-01,22555.0,,,,
VIC,2022-01-01,7367.0,,,,
ACT,2022-01-01,413.0,,,,
WA,2022-01-01,3.0,,,,
SA,2022-01-01,2105.0,,,,
QLD,2022-01-01,2261.0,,,,
NT,2022-01-02,101.0,,,,
TAS,2022-01-02,410.0,,,,
NSW,2022-01-02,18241.0,,,,
VIC,2022-01-02,7124.0,,,,
ACT,2022-01-02,396.0,,,,
SA,2022-01-02,2294.0,,,,
WA,2022-01-02,7.0,,,,
QLD,2022-01-02,3572.0,,,,
AUS,2022-01-02,32145.0,,,,
QLD,2022-01-03,4235.0,,,,
SA,2022-01-03,2540.0,,,,
VIC,2022-01-03,8519.0,,,,
NT,2022-01-03,79.0,,,,
AUS,2022-01-03,37118.0,,,,
NSW,2022-01-03,20759.0,,,,
TAS,2022-01-03,469.0,,,,
WA,2022-01-03,8.0,,,,
ACT,2022-01-03,509.0,,,,
QLD,2022-01-04,5693.0,,,,
WA,2022-01-04,14.0,,,,
NSW,2022-01-04,23090.0,,,,
VIC,2022-01-04,13813.0,,,,
TAS,2022-01-04,701.0,,,,
AUS,2022-01-04,47512.0,,,,
NT,2022-01-04,70.0,,,,
SA,2022-01-04,3243.0,,,,
ACT,2022-01-04,888.0,,,,
TAS,2022-01-05,867.0,,,,
AUS,2022-01-05,64531.0,,,,
NSW,2022-01-05,35020.0,,,,
NT,2022-01-05,143.0,,,,
WA,2022-01-05,16.0,,,,
ACT,2022-01-05,833.0,,,,
SA,2022-01-05,3491.0,,,,
VIC,2022-01-05,17382.0,,,,
QLD,2022-01-05,6779.0,,,,
SA,2022-01-06,3070.0,,,,
AUS,2022-01-06,72307.0,,,,
NT,2022-01-06,212.0,,,,
VIC,2022-01-06,21997.0,,,,
WA,2022-01-06,9.0,,,,
NSW,2022-01-06,34944.0,,,,
QLD,2022-01-06,10332.0,,,,
TAS,2022-01-06,751.0,,,,
ACT,2022-01-06,992.0,,,,
SA,2022-01-07,3707.0,,106.0,10.0,2921.0
VIC,2022-01-07,21728.0,,542.0,68.0,13990.0
NT,2022-01-07,279.0,,,,
TAS,2022-01-07,1491.0,,1.0,0.0,732.0
NSW,2022-01-07,38625.0,,1338.0,106.0,27605.0
AUS,2022-01-07,78035.0,52405.0,,,
QLD,2022-01-07,10953.0,,229.0,9.0,6261.0
WA,2022-01-07,6.0,,0.0,0.0,9.0
ACT,2022-01-07,1246.0,,14.0,1.0,754.0
NSW,2022-01-08,45098.0,30825.0,1466.0,116.0,30825.0
VIC,2022-01-08,51356.0,20274.0,582.0,76.0,20274.0
SA,2022-01-08,4274.0,3231.0,119.0,12.0,3231.0
QLD,2022-01-08,11174.0,7534.0,260.0,11.0,7534.0
TAS,2022-01-08,1051.0,820.0,2.0,0.0,820.0
AUS,2022-01-08,114669.0,63760.0,,,
NT,2022-01-08,403.0,184.0,,,
WA,2022-01-08,8.0,10.0,0.0,0.0,10.0
ACT,2022-01-08,1305.0,881.0,17.0,2.0,881.0
NT,2022-01-09,256.0,206.0,,,
AUS,2022-01-09,99059.0,73319.0,,,
QLD,2022-01-09,18000.0,9595.0,293.0,13.0,9595.0
TAS,2022-01-09,1039.0,910.0,4.0,0.0,910.0
SA,2022-01-09,4506.0,3547.0,133.0,14.0,3547.0
NSW,2022-01-09,30062.0,32514.0,1589.0,125.0,32514.0
VIC,2022-01-09,44155.0,25564.0,622.0,83.0,25564.0
WA,2022-01-09,2.0,9.0,0.0,0.0,9.0
ACT,2022-01-09,1039.0,973.0,19.0,3.0,973.0
ACT,2022-01-10,938.0,1034.0,21.0,3.0,1034.0
VIC,2022-01-10,34808.0,29320.0,669.0,92.0,29320.0
QLD,2022-01-10,9581.0,10359.0,327.0,15.0,10359.0
SA,2022-01-10,4024.0,3759.0,146.0,15.0,3759.0
NSW,2022-01-10,20293.0,32447.0,1706.0,134.0,32447.0
WA,2022-01-10,8.0,9.0,0.0,0.0,9.0
AUS,2022-01-10,71202.0,78188.0,,,
NT,2022-01-10,332.0,242.0,,,
TAS,2022-01-10,1218.0,1017.0,6.0,0.0,1017.0
VIC,2022-01-11,37994.0,32774.0,718.0,101.0,32774.0
TAS,2022-01-11,1378.0,1114.0,9.0,0.0,1114.0
NSW,2022-01-11,25870.0,32845.0,1827.0,144.0,32845.0
ACT,2022-01-11,1508.0,1123.0,23.0,3.0,1123.0
AUS,2022-01-11,90906.0,84387.0,,,
WA,2022-01-11,15.0,9.0,0.0,0.0,9.0
SA,2022-01-11,2921.0,3713.0,162.0,17.0,3713.0
QLD,2022-01-11,20566.0,12484.0,373.0,17.0,12484.0
NT,2022-01-11,654.0,326.0,32.0,2.0,654.0
NT,2022-01-12,212.0,335.0,30.0,2.0,433.0
